slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-043,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.324421200028155,0,30
MATCH-044,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.38026840006932616,0,30
MATCH-044,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0596874000038952,0,30
MATCH-044,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.355944000009913,0,30
MATCH-045,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.3714697000104934,0,30
MATCH-045,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2963992999866605,0,0
MATCH-045,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.3010638999985531,0,0
MATCH-046,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3517290999297984,0,30
MATCH-046,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.33475889993133023,0,30
MATCH-046,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0288760000257753,0,30
MATCH-047,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2789693000377156,0,0
MATCH-047,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.3131988000241108,0,30
MATCH-047,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2717183999484405,0,0
MATCH-048,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0082989999791607,0,30
MATCH-048,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3305569000658579,0,30
MATCH-048,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3091575999860652,0,30
MATCH-049,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.29132270003901795,0,0
MATCH-049,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2830973000382073,0,0
MATCH-049,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.4123978000716306,0,30
MATCH-050,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3202594999456778,0,30
MATCH-050,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0239938999875449,0,30
MATCH-050,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3532077000127174,0,30
MATCH-051,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2733302999986336,0,30
MATCH-051,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2978783000144176,0,0
MATCH-051,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2948989999713376,0,0
MATCH-052,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.349785000027623,0,30
MATCH-052,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.30656439991435036,0,30
MATCH-052,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0979138999828137,0,30
MATCH-053,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2799944999278523,0,0
MATCH-053,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.3142601000145078,0,30
MATCH-053,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.30918050004402176,0,0
MATCH-054,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0260000999551266,0,30
MATCH-054,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.33610380004392937,0,30
MATCH-054,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3105469000292942,0,30
MATCH-055,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.32327819999773055,0,0
MATCH-055,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.289594600093551,0,0
MATCH-055,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2139232999761589,0,30
MATCH-056,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3223285000422038,0,30
MATCH-056,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0192404999979772,0,30
MATCH-056,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3087814999744296,0,30
MATCH-057,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2675043999915943,0,30
MATCH-057,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.26246009999886155,0,0
MATCH-057,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2826431000139564,0,0
MATCH-058,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.310382199997548,0,30
MATCH-058,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3452159000444226,0,30
MATCH-058,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0271993000642397,0,30
MATCH-059,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.22327689995290712,0,0
